year,month_name,quarter,lastSaleDate,date_id
0,,0,,1
2021,July,3,2021-07-27 00:00:00+00:00,2
2020,July,3,2020-07-22 00:00:00+00:00,3
2009,August,3,2009-08-20 00:00:00+00:00,4
2016,June,2,2016-06-13 00:00:00+00:00,5
2021,June,2,2021-06-11 00:00:00+00:00,6
2020,March,1,2020-03-11 00:00:00+00:00,7
2023,October,4,2023-10-30 00:00:00+00:00,8
2010,October,4,2010-10-18 00:00:00+00:00,9
2021,September,3,2021-09-28 00:00:00+00:00,10
1993,October,4,1993-10-08 00:00:00+00:00,11
2020,September,3,2020-09-28 00:00:00+00:00,12
2023,January,1,2023-01-09 00:00:00+00:00,13
2024,February,1,2024-02-22 00:00:00+00:00,14
2013,September,3,2013-09-27 00:00:00+00:00,15
2003,April,2,2003-04-07 00:00:00+00:00,16
2018,September,3,2018-09-11 00:00:00+00:00,17
2008,April,2,2008-04-01 00:00:00+00:00,18
2015,July,3,2015-07-22 00:00:00+00:00,19
2006,May,2,2006-05-30 00:00:00+00:00,20
2020,December,4,2020-12-14 00:00:00+00:00,21
2008,July,3,2008-07-18 00:00:00+00:00,22
2008,April,2,2008-04-16 00:00:00+00:00,23
2021,July,3,2021-07-19 00:00:00+00:00,24
2021,April,2,2021-04-29 00:00:00+00:00,25
2013,August,3,2013-08-30 00:00:00+00:00,26
1987,May,2,1987-05-01 00:00:00+00:00,27
2015,May,2,2015-05-20 00:00:00+00:00,28
2004,September,3,2004-09-10 00:00:00+00:00,29
2019,December,4,2019-12-18 00:00:00+00:00,30
2002,April,2,2002-04-09 00:00:00+00:00,31
2017,June,2,2017-06-07 00:00:00+00:00,32
2016,June,2,2016-06-30 00:00:00+00:00,33
2023,March,1,2023-03-24 00:00:00+00:00,34
2022,March,1,2022-03-14 00:00:00+00:00,35
2007,November,4,2007-11-20 00:00:00+00:00,36
2024,April,2,2024-04-08 00:00:00+00:00,37
1990,December,4,1990-12-07 00:00:00+00:00,38
1999,June,2,1999-06-10 00:00:00+00:00,39
2024,April,2,2024-04-03 00:00:00+00:00,40
2012,June,2,2012-06-11 00:00:00+00:00,41
2019,October,4,2019-10-08 00:00:00+00:00,42
2021,May,2,2021-05-28 00:00:00+00:00,43
2007,August,3,2007-08-01 00:00:00+00:00,44
2016,January,1,2016-01-14 00:00:00+00:00,45
2015,December,4,2015-12-03 00:00:00+00:00,46
2003,October,4,2003-10-07 00:00:00+00:00,47
2021,June,2,2021-06-29 00:00:00+00:00,48
2024,June,2,2024-06-20 00:00:00+00:00,49
2020,November,4,2020-11-12 00:00:00+00:00,50
2021,October,4,2021-10-26 00:00:00+00:00,51
2022,April,2,2022-04-22 00:00:00+00:00,52
2022,June,2,2022-06-16 00:00:00+00:00,53
2015,April,2,2015-04-19 00:00:00+00:00,54
2014,July,3,2014-07-25 00:00:00+00:00,55
2015,August,3,2015-08-28 00:00:00+00:00,56
2023,March,1,2023-03-14 00:00:00+00:00,57
2016,February,1,2016-02-26 00:00:00+00:00,58
2010,November,4,2010-11-17 00:00:00+00:00,59
2015,March,1,2015-03-10 00:00:00+00:00,60
2007,April,2,2007-04-24 00:00:00+00:00,61
2016,January,1,2016-01-06 00:00:00+00:00,62
2001,July,3,2001-07-16 00:00:00+00:00,63
2013,January,1,2013-01-28 00:00:00+00:00,64
2020,October,4,2020-10-20 00:00:00+00:00,65
1998,December,4,1998-12-01 00:00:00+00:00,66
2020,November,4,2020-11-05 00:00:00+00:00,67
2004,July,3,2004-07-28 00:00:00+00:00,68
2019,May,2,2019-05-31 00:00:00+00:00,69
2004,December,4,2004-12-30 00:00:00+00:00,70
2021,December,4,2021-12-01 00:00:00+00:00,71
2006,November,4,2006-11-08 00:00:00+00:00,72
2020,August,3,2020-08-07 00:00:00+00:00,73
2023,December,4,2023-12-14 00:00:00+00:00,74
2022,February,1,2022-02-11 00:00:00+00:00,75
2021,December,4,2021-12-17 00:00:00+00:00,76
2022,March,1,2022-03-28 00:00:00+00:00,77
2024,February,1,2024-02-13 00:00:00+00:00,78
2020,October,4,2020-10-06 00:00:00+00:00,79
2021,June,2,2021-06-09 00:00:00+00:00,80
2017,February,1,2017-02-15 00:00:00+00:00,81
2024,June,2,2024-06-14 00:00:00+00:00,82
2005,July,3,2005-07-07 00:00:00+00:00,83
2023,June,2,2023-06-06 00:00:00+00:00,84
2014,May,2,2014-05-16 00:00:00+00:00,85
2021,December,4,2021-12-09 00:00:00+00:00,86
1990,October,4,1990-10-19 00:00:00+00:00,87
2014,July,3,2014-07-07 00:00:00+00:00,88
2021,February,1,2021-02-10 00:00:00+00:00,89
2018,November,4,2018-11-28 00:00:00+00:00,90
