addressLine1,city,state,zipCode,county,latitude,longitude,zoning,subdivision,location_id
6451 Oxford Ave,Philadelphia,PA,19111,Philadelphia,40.046933,-75.087511,Unknown,Not available,1
6615 Blendon Ave NW,Canton,OH,44718,Stark,40.876754,-81.452958,Unknown,BLENDON RIDGE,2
162 Quincy St,Manistee,MI,49660,Manistee,44.256137,-86.321086,Unknown,Not available,3
84 Thacher St,Hornell,NY,14843,Steuben,42.330193,-77.666211,Unknown,Not available,4
4315 Thistlewood Ter,Burtonsville,MD,20866,Montgomery,39.100615,-76.920849,R200,SADDLE CREEK,5
80 Buckland St,Palmer,MA,1069,Hampden,42.16486,-72.333231,TR,Not available,6
1939 Goldsmith Ln,Louisville,KY,40218,Jefferson,38.202567,-85.681007,Unknown,Not available,7
4005 Moorpark Ct,Sun Valley,NV,89433,Washoe,39.565316,-119.779234,Unknown,Not available,8
7825 W Maui Ln,Peoria,AZ,85381,Maricopa,33.621538,-112.226747,R-10,TIERRA NORTE 3,9
9314 Canyon Rd E,Puyallup,WA,98371,Pierce,47.172727,-122.361063,Unknown,Not available,10
1198 Columbia Rd,Berkley,MI,48072,Oakland,42.490992,-83.167142,RI,PERRY-MORTENSON CO'S ROYAL GARDENS SUB,11
10020 Desert Azure St,Las Vegas,NV,89178,Clark,36.006557,-115.298605,Unknown,FORT APACHE & MOUNTAINS EDGE PHASE 1,12
4701 Roxie St,Haltom City,TX,76117,Tarrant,32.820849,-97.280537,Unknown,WEST BROWNING ADDITION,13
82 Ayers Ct,Teaneck,NJ,7666,Bergen,40.901138,-74.002313,Unknown,Not available,14
530 E Joanne Ct,Spokane,WA,99218,Spokane,47.739586,-117.401415,Unknown,NORTHPOINTE COMMONS,15
85 Henlopen Gdns,Lewes,DE,19958,Sussex,38.758884,-75.148653,Unknown,Not available,16
106 4th Ave SW,Pacific,WA,98047,King,47.263631,-122.250931,RS 6,HILLMANS CD PACIFIC CITY DIV NO 01,17
6363 Clarice Ave,Las Vegas,NV,89107,Clark,36.175831,-115.232825,Unknown,Not available,18
915 E 124th Ave Apt A,Tampa,FL,33612,Hillsborough,28.059974,-82.449713,Unknown,Not available,19
4360 Oregon St,San Diego,CA,92104,San Diego,32.756538,-117.135481,R-1:SINGLE FAM-RES,UNIVERSITY HEIGHTS,20
72 Washington St,Saratoga Springs,NY,12866,Saratoga,43.080304,-73.789832,Unknown,Not available,21
83 Euclid Blvd,Asheville,NC,28806,Buncombe,35.57953,-82.571555,RM8,FRENCH BROAD TERR,22
6331 County Rd,Tyler,TX,75704,Smith,32.344812,-95.375248,Unknown,GREENBRIAR MHP,23
5849 Blendon Place Dr,Columbus,OH,43230,Franklin,40.067023,-82.865645,Unknown,BLENDON PARK,24
16688 Heatherwood Dr,Clinton Township,MI,48038,Macomb,42.595938,-82.95368,R-4,SUNFIELD ESTATES SUBDIVISION,25
2211 Eustis St,Saint Paul,MN,55113,Ramsey,45.007764,-93.203061,A,SECTION 8 TOWN 29 RANGE 23,26
2090 Beckenham Pl,Dacula,GA,30019,Gwinnett,34.000258,-83.916209,R100M-SINGLE FAM RES,APALACHEE WOODS,27
6345 Evanston Ave,Saint Louis,MO,63133,Saint Louis,38.678784,-90.287593,78RB,KIENLEN ADDITION,28
45 Sherbrooke Rd,Ewing,NJ,8638,Mercer,40.258032,-74.756686,R-2,SHERBROOKE MANOR SEC 02,29
903 S Ashland Ave,Chicago,IL,60607,Cook,41.870443,-87.665844,Unknown,Not available,30
522 Swanson Cres,Milford,CT,6461,New Haven,41.246317,-73.034664,RMF1,FOXWOOD # 3,31
211 Zodiac Ct,Walkersville,MD,21793,Frederick,39.495074,-77.343862,Unknown,SUN MDW PH 06 01,32
5643 Danbury Cir,Lake In The Hills,IL,60156,McHenry,42.198626,-88.404784,Unknown,MEADOWBROOK 15,33
2422 S Old Oaks Dr,Beavercreek,OH,45431,Greene,39.760903,-84.067658,"R-PUD 471,472",SPICER HEIGHTS 6,34
4148 Benham St,Elmhurst,NY,11373,Queens,40.746997,-73.872588,R5,ELMHURST SEC A,35
