propertyType,features,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,assessorID,legalDescription,property_id
Unknown,NaN,0.0,0.0,0.0,0.0,0.0,Unknown,Not available,1
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""fireplace"": true, ""fireplaceType"": ""Single"", ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Gas"", ""unitCount"": 1}",4.0,2.5,1880.0,12153.0,1990.0,16-16798,21 WH BLENDON RIDGE,2
Single Family,NaN,3.0,0.0,1600.0,0.0,0.0,51-146-705-18,"AMEN ENGELMANNS ADD W 12 OF LOT 9, & LOT 10 BLOCK 2 _____P.ADDR 162 QUINCY ST [[SALE(76) 60 1344 0965 (78) 1368 0298",3
Single Family,"{""architectureType"": ""Townhouse"", ""cooling"": true, ""coolingType"": ""Commercial"", ""exteriorType"": ""Siding"", ""fireplace"": true, ""floorCount"": 2, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Composition Shingle"", ""unitCount"": 1}",0.0,1.5,1220.0,1400.0,1986.0,05-02506564,SADDLE CREEK,4
Single Family,"{""architectureType"": ""Cape Cod"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""unitCount"": 1, ""fireplace"": true}",2.0,1.5,1193.0,15246.0,1953.0,PALM M:61 B:105,BLK:105 DIST:227 CITY/MUNI/TWP:PALMER,5
Single Family,"{""cooling"": true, ""coolingType"": ""Refrigeration"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 3, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Other"", ""roomCount"": 8, ""unitCount"": 1}",4.0,3.0,2663.0,10014.0,1996.0,200-62-675,TIERRA NORTE 3 MCR 376/33,6
Manufactured,"{""architectureType"": ""2+ Story"", ""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Metal"", ""floorCount"": 1, ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Metal""}",3.0,1.0,744.0,0.0,1968.0,5000046310,MAKE - MARLE - MODEL - MARLETTE - YEAR - 1968 - SERIAL - 80630 - TPO -,7
Single Family,"{""architectureType"": ""Bungalow"", ""exteriorType"": ""Aluminum / Vinyl Siding"", ""fireplace"": true, ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 1, ""garageType"": ""Detached"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Asphalt"", ""roomCount"": 4, ""unitCount"": 1}",3.0,1.0,924.0,4008.0,1948.0,04-25-17-456-046,"T1N, R11E, SEC 17 PERRY-MORTENSON CO'S ROYAL GARDENS SUB. LOT 152",8
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""exteriorType"": ""Stucco"", ""floorCount"": 1, ""garage"": true, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Forced Air"", ""roofType"": ""Tile"", ""roomCount"": 5}",3.0,2.5,2467.0,6599.0,2022.0,176-30-610-003,FORT APACHE & MOUNTAINS EDGE PHASE 1 PLAT BOOK 165 PAGE 3 LOT 3,9
Single Family,"{""cooling"": true, ""coolingType"": ""Central"", ""floorCount"": 1, ""garage"": true, ""garageSpaces"": 2, ""garageType"": ""Garage"", ""heating"": true, ""heatingType"": ""Central"", ""unitCount"": 1}",3.0,2.0,1420.0,10672.0,1960.0,45800-17-15,WEST BROWNING ADDITION BLOCK 17 LOT 15,10
